Component,Eigenvalue,Explained_Inertia_%,Cumulative_Inertia_%
Dim1,0.3241865434986069,15.850351937794931,15.850351937794931
Dim2,0.29513398446240907,14.429894196249965,30.280246134044898
Dim3,0.2705818408170678,13.22947386600999,43.509720000054884
Dim4,0.24289713871676896,11.875894328601975,55.385614328656864
Dim5,0.20338471316776502,9.944025583808367,65.32963991246523
Dim6,0.1925295848424051,9.413289167577009,74.74292908004225
Dim7,0.17333700392607335,8.474912272486137,83.21784135252838
Dim8,0.14421725967432936,7.0511696650737266,90.26901101760211
Dim9,0.10273783417840092,5.023129003074951,95.29214002067707
Dim10,0.09628965085203374,4.707859979322951,100.00000000000003
